,brand,value
0,& Other Stories,62.81132075471698
1,(+) PEOPLE,83.28301886792453
2,032c,0.0
3,10 Crosby by Derek Lam,0.0
4,1017 ALYX 9SM,0.0
5,11 by Boris Bidjan Saberi,0.0
6,12 storeez,6.830188679245283
7,16 Arlington,10.11320754716981
8,2728,1.0188679245283019
9,3 juin,0.07547169811320754
10,3.1 Phillip Lim,0.0
11,360 Cashmere,0.0
12,3x1,2.8679245283018866
13,424,79.37735849056604
14,45RPM,36.716981132075475
15,5 Progress,1.679245283018868
16,7 For All Mankind,20.60377358490566
17,711,19.0
18,8 by Yoox,0.0
19,A Bathing Ape,80.71698113207547
20,A Better Feeling,10.547169811320755
21,A DAY'S MARCH,5.377358490566038
22,A-Cold-Wall,0.0
23,A. Testoni,0.0
24,A.A Spectrum,0.0
25,A.L.C,0.07547169811320754
26,A.L.C.,0.03773584905660377
27,A.S.98,0.8113207547169812
28,A.W.A.K.E.,0.0
29,AAPE by a Bathing Ape,0.0
30,AERONAUTICA MILITARE,49.905660377358494
31,AGR,66.05660377358491
32,ALBANO,65.16981132075472
33,ALDO,76.01886792452831
34,ALICE + OLIVIA,64.94339622641509
35,ALVIERO MARTINI,0.7358490566037735
36,ALYSI,0.018867924528301886
37,AMBUSH,15.11320754716981
38,AMERICAN EAGLE,29.735849056603772
39,AMINA MUADDI,1.8679245283018868
40,ANDRÉ,67.26415094339623
41,ANGELO MARANI,0.018867924528301886
42,ANIYE BY,0.05660377358490566
43,ANNE KLEIN,30.30188679245283
44,ANTICA SARTORIA,0.20754716981132076
45,ANTONY MORATO,13.433962264150944
46,APC,68.60377358490567
47,APL Athletic Propulsion Labs,0.0
48,APOSTROPHE,11.037735849056604
49,AQUA,76.9245283018868
50,ARC'TERYX,50.716981132075475
51,ARROW,81.09433962264151
52,AT.P.CO,0.0
53,ATOS LOMBARDINI,0.0
54,ATP Atelier,52.64150943396226
55,AUBADE,51.81132075471698
56,AVANT TOI,6.283018867924528
57,Acne Studios,58.15094339622642
58,Acne Studios x Fjällräven,0.0
59,Add,83.0
60,Ader Error,0.0
61,Adidas,79.66037735849056
62,Adidas & Rick owens,0.0
63,Adidas Originals x Alexander Wang,0.0
64,Adidas X Ivy Park,0.32075471698113206
65,Adidas x A Bathing Ape,0.3018867924528302
66,Adidas x Craig Green,0.0
67,Adidas x Gosha Rubchinskiy,0.0
68,Adidas x Missoni,0.0
69,Adidas x Pharrell Williams,3.018867924528302
70,Adidas x Raf Simons,0.0
71,Adidas x Wales Bonner,0.0
72,Adieu,3.7169811320754715
73,Adolfo Dominguez,2.811320754716981
74,Adrianna Papell,78.0
75,Adriano Goldschmied,0.660377358490566
76,Adrienne Landau,1.0
77,Aethera,0.0
78,Aeyde,1.849056603773585
79,Ag Adriano Goldschmied,0.0
80,Agent Provocateur,8.867924528301886
81,Agl,2.5660377358490565
82,Agnona,0.0
83,Agnès B.,0.0
84,Agolde,4.849056603773585
85,Ahluwalia,4.69811320754717
86,Aidan Mattox,6.339622641509434
87,Aigle,72.24528301886792
88,Aigner,76.09433962264151
89,Aime Leon Dore,54.18867924528302
90,Aje,54.24528301886792
91,Akris,24.056603773584907
92,Akris Punto,0.0
93,Alain Mikli,1.9811320754716981
94,Alanui,2.8679245283018866
95,Alaïa,74.52830188679245
96,Alberta Ferretti,1.0377358490566038
97,Alberto Biani,0.09433962264150944
98,Alberto Fasciani,0.0
99,Alberto Guardiani,1.5849056603773586
100,Albino,86.52830188679245
101,Alcott,77.13207547169812
102,Alden,10.358490566037736
103,Alessandra Rich,38.660377358490564
104,Alessandro Dell'Acqua,0.018867924528301886
105,Alex Perry,17.20754716981132
106,Alexa Chung,3.943396226415094
107,Alexander Hotto,0.11320754716981132
108,Alexander McQueen,62.490566037735846
109,Alexander McQueen For P,0.0
110,Alexander Olch,0.0
111,Alexander Smith,5.018867924528302
112,Alexander Wang,59.84905660377358
113,Alexandre Birman,1.0
114,Alexandre Vauthier,0.0
115,Alexis,82.05660377358491
116,Alfani,0.9622641509433962
117,Alfred Dunhill,4.169811320754717
118,Alice & Olivia,0.0
119,Alice Mccall,23.339622641509433
120,All Saints,28.471698113207548
121,Allbirds,15.037735849056604
122,Allegri,1.9811320754716981
123,Allude,8.584905660377359
124,Alma en Pena,2.943396226415094
125,Alo,66.41509433962264
126,Alohas,1.9622641509433962
127,Alpha Industries,13.339622641509434
128,Alpha Studio,10.49056603773585
129,Alpina,84.37735849056604
130,Altan Bottier,0.0
131,Altea,48.679245283018865
132,Altuzarra,0.0
133,Alyx,55.113207547169814
134,Alémais,0.49056603773584906
135,Amanda Uprichard,0.8679245283018868
136,Amanda Wakeley,0.6415094339622641
137,Amen,53.41509433962264
138,American Retro,6.849056603773585
139,American Vintage,75.05660377358491
140,Ami,86.75471698113208
141,Amiri,72.18867924528301
142,Ancient Greek Sandals,0.0
143,Anderson's,51.490566037735846
144,Andersson Bell,2.150943396226415
145,Anemone,5.245283018867925
146,Angel Alarcon,1.0943396226415094
147,Anine Bing,3.3773584905660377
148,Anjuna,69.11320754716981
149,Ann Demeulemeester,65.81132075471699
150,Ann Taylor,79.9245283018868
151,Anna F,24.245283018867923
152,Anna Molinari,0.5094339622641509
153,Anna Sui,0.0
154,Annarita N,0.018867924528301886
155,Anne Fontaine,27.58490566037736
156,Anonyme,12.018867924528301
157,Anthology Paris,3.9056603773584904
158,Anthropologie,12.20754716981132
159,Anti Social Social Club,14.358490566037736
160,Antik Batik,68.90566037735849
161,Antonia Zander,0.0
162,Antonio Berardi,0.0
163,Antonio Marras,0.9433962264150944
164,Anya Hindmarch,0.41509433962264153
165,Apple,57.60377358490566
166,Apples of Gold,1.3018867924528301
167,Aquascutum,66.81132075471699
168,Aquatalia,0.03773584905660377
169,Aquazzura,63.58490566037736
170,Arche,75.84905660377359
171,Area,82.50943396226415
172,Arena,77.26415094339623
173,Arfango,0.0
174,Ariat,49.64150943396226
175,Aries,33.735849056603776
176,Aritzia,46.301886792452834
177,Arket,63.16981132075472
178,Armand Thiery,21.169811320754718
179,Armand Ventilo,0.0
180,Armani Collezioni,40.9811320754717
181,Armani Exchange,59.22641509433962
182,Armani Jeans,0.660377358490566
183,Army,72.71698113207547
184,Arnys,2.056603773584906
185,Arte,84.67924528301887
186,Artigli,13.433962264150944
187,Ash,29.150943396226417
188,Asics,78.67924528301887
189,Asics x kiko kostadinov,0.0
190,Aspesi,58.886792452830186
191,Aspinal Of London,0.7735849056603774
192,Astr the label,0.0
193,Athleta,54.75471698113208
194,Atlantic Stars,1.2830188679245282
195,Attic And Barn,0.0
196,Attico,1.849056603773585
197,Audemars Piguet,68.54716981132076
198,Augusta,39.60377358490566
199,Australian,19.849056603773583
200,Autry,68.86792452830188
201,Aviator Nation,38.490566037735846
202,Avirex,29.528301886792452
203,Avital & Co Jewelry,0.0
204,Axel Arigato,48.698113207547166
205,Azzaro,11.735849056603774
206,Aéryne,0.0
207,BACON,64.66037735849056
208,BAGUTTA,1.169811320754717
209,BARRETT,74.26415094339623
210,BATA,83.18867924528301
211,BATTISTONI,0.0
212,BCBGeneration,2.207547169811321
213,BEBE,70.0
214,BEN SHERMAN,10.132075471698114
215,BERNA,73.0754716981132
216,BETSEY JOHNSON,0.1320754716981132
217,BETTY BARCLAY,13.169811320754716
218,BEVERLY HILLS POLO CLUB,1.0188679245283019
219,BIBI LOU,24.41509433962264
220,BILLABONG,13.20754716981132
221,BLACK HALO,1.1320754716981132
222,BLANKNYC,7.490566037735849
223,BOCAGE,76.24528301886792
224,BOMBOOGIE,5.113207547169812
225,BORBONESE,4.3584905660377355
226,BRACCIALINI,11.150943396226415
227,BREIL,0.0
228,BRIAN DALES,0.8490566037735849
229,BRONX,60.113207547169814
230,BRUNO PREMI,0.0
231,BSB,8.81132075471698
232,BUFFALO,65.37735849056604
233,Ba&sh,85.98113207547169
234,Babaton,0.1320754716981132
235,Babylon,77.41509433962264
236,Badgley Mischka,30.962264150943398
237,Baldessarini,1.0
238,Baldinini,80.66037735849056
239,Baldwin,7.509433962264151
240,Balenciaga,78.79245283018868
241,Balenciaga X Adidas,0.0
242,Balibaris,1.2452830188679245
243,Ballantyne,8.452830188679245
244,Bally,12.716981132075471
245,Balmain,69.28301886792453
246,Balmain x Beyonce,0.0
247,Balzac Paris,2.4339622641509435
248,Banana Republic,22.943396226415093
249,Baobab,61.905660377358494
250,Baracuta,8.547169811320755
251,Barba,87.0377358490566
252,Barbara Bui,61.22641509433962
253,Barbour,49.62264150943396
254,Bardot,41.490566037735846
255,Barena,0.33962264150943394
256,Barena Venezia,0.8679245283018868
257,Bark,81.28301886792453
258,Barker,34.660377358490564
259,Barneys New York,0.0
260,Barrel,41.62264150943396
261,Barrie,76.47169811320755
262,Barrow,10.037735849056604
263,Barton Perreira,1.320754716981132
264,Basile,65.11320754716981
265,Basler,62.20754716981132
266,Baum Und Pferdgarten,14.226415094339623
267,Baume & Mercier,3.9245283018867925
268,Baume Et Mercier,0.0
269,Bazilika,11.69811320754717
270,Bcbg Max Azria,64.32075471698113
271,Beams,76.9622641509434
272,Beaufille,16.245283018867923
273,Bec & Bridge,0.7735849056603774
274,Beck Sonder Gaard,0.0
275,Bel Air,36.41509433962264
276,Bell & Ross,2.150943396226415
277,Bella Freud,34.15094339622642
278,Belle,55.24528301886792
279,Belle Sigerson Morrison,0.0
280,Bellerose,19.150943396226417
281,Belstaff,55.83018867924528
282,Bensimon,1.2641509433962264
283,Berenice,6.584905660377358
284,Beretta,34.716981132075475
285,Berge,8.037735849056604
286,Berghaus,65.79245283018868
287,Berluti,71.69811320754717
288,Berwich,0.0
289,Berwick 1707,0.0
290,Betsy & Adam,0.05660377358490566
291,Bikini Lovers,0.0
292,Bikkembergs,53.094339622641506
293,Bill Blass,0.07547169811320754
294,Billi Bi,0.0
295,Billionaire,55.43396226415094
296,Billionaire Boys Club,14.056603773584905
297,Bimani,1.0
298,Bimba y Lola,28.867924528301888
299,Birkenstock,57.075471698113205
300,Birkenstock X Kith,0.09433962264150944
301,Bizuu,1.1320754716981132
302,Blancpain,67.56603773584905
303,Blancpain X Swatch,0.0
304,Blauer,59.84905660377358
305,Blonde No.8,0.0
306,Bloomingdales,12.452830188679245
307,Blugirl folies,0.0
308,Blumarine,81.94339622641509
309,Blundstone,42.77358490566038
310,Bobbies,21.28301886792453
311,Boboutic,0.018867924528301886
312,Bode,79.86792452830188
313,Boden,37.81132075471698
314,Boggi,12.339622641509434
315,Boglioli,0.0
316,Bogner,56.37735849056604
317,Bolle,1.0754716981132075
318,Bonpoint,8.867924528301886
319,Bonsai,80.64150943396227
320,Boris Bidjan Saberi,1.0566037735849056
321,Borrelli,10.981132075471699
322,Borsalino,46.320754716981135
323,Boss,75.86792452830188
324,Boss Orange,6.0
325,Bottega Veneta,80.79245283018868
326,Boucheron,2.30188679245283
327,Bouguessa,10.377358490566039
328,Bounty Hunter,23.71698113207547
329,Bowen,49.15094339622642
330,Boy London,40.943396226415096
331,Brahmin,25.71698113207547
332,Brandy Melville,60.094339622641506
333,Brax,36.094339622641506
334,Breguet,1.509433962264151
335,Breitling,77.9245283018868
336,Brema,12.452830188679245
337,Bremont,9.49056603773585
338,Breuer,64.69811320754717
339,Brian Atwood,0.0
340,Brioni,58.15094339622642
341,Brixton,25.452830188679247
342,Bronx and Banco,47.54716981132076
343,Brooks,79.13207547169812
344,Brooks Brothers,69.86792452830188
345,Brooksfield,9.660377358490566
346,Brunello Cucinelli,54.283018867924525
347,Bruno Magli,0.32075471698113206
348,Bruuns Bazaar,74.69811320754717
349,Bugatti,75.39622641509433
350,Bulova,64.81132075471699
351,Burberry,27.69811320754717
352,Buscemi,1.0188679245283019
353,Buttero,10.962264150943396
354,Bvlgari,71.35849056603773
355,By Far,5.264150943396227
356,By Timo,0.0
357,By malina,6.0754716981132075
358,Byblos,44.905660377358494
359,C.B. Made In Italy,0.0
360,C.P. Company,6.7924528301886795
361,CALVIN KLEIN JEANS,1.0
362,CAMAIEU,2.811320754716981
363,CAMOMILLA,45.43396226415094
364,CARACTERE,54.58490566037736
365,CARATSDIRECT2U,0.0
366,CARLO COLUCCI,3.849056603773585
367,CAROLL,50.22641509433962
368,CATERPILLAR,74.9245283018868
369,CC Collection Corneliani,0.0
370,CELIO,55.58490566037736
371,CHANTELLE,1.1132075471698113
372,CHARLES & KEITH,35.490566037735846
373,CIESSE PIUMINI,3.9622641509433962
374,CIVIDINI,8.81132075471698
375,CKS,88.15094339622641
376,CMP,78.60377358490567
377,CNC,84.09433962264151
378,COLUMBIA,86.20754716981132
379,COMPAGNIA ITALIANA,1.0377358490566038
380,CONBIPEL,9.018867924528301
381,CONTE OF FLORENCE.,0.0
382,COP COPINE,3.3207547169811322
383,CORTEFIEL,47.528301886792455
384,COSMO PARIS,4.169811320754717
385,COTAZUR,0.49056603773584906
386,COTÉLAC,0.1509433962264151
387,CRISTINAEFFE,0.0
388,CROCKETT & JONES,0.24528301886792453
389,CROCS,73.54716981132076
390,CUSTOMMADE,0.0
391,Cacharel,51.716981132075475
392,Cactus Plant Flea Market,12.79245283018868
393,CafèNoir,0.0
394,Calliope,76.16981132075472
395,Calvin Klein,59.094339622641506
396,Calvin Klein 205W39NYC,0.41509433962264153
397,Calvin Klein Collection,0.09433962264150944
398,Camicissima,0.6226415094339622
399,Camilla,72.28301886792453
400,Camilla And Marc,5.018867924528302
401,Camilla Elphick,0.0
402,Camper,53.660377358490564
403,Canada Goose,38.56603773584906
404,Canali,75.81132075471699
405,Cantarelli,1.0566037735849056
406,Carel,9.358490566037736
407,Carhartt,41.075471698113205
408,Carhartt WIP,15.415094339622641
409,Carlo Pazolini,0.03773584905660377
410,Carlo Pignatelli,0.0
411,Carol Christian Poell,1.2264150943396226
412,Carolina,75.98113207547169
413,Carolina Herrera,53.056603773584904
414,Carolina K,10.169811320754716
415,Caroline Constas,5.150943396226415
416,Carrera,84.37735849056604
417,Carshoe,0.0
418,Cartier,68.9245283018868
419,Caruso,7.188679245283019
420,Carvela,0.0
421,Carven,0.0
422,Casablanca,12.81132075471698
423,Casadei,25.0188679245283
424,Casio,79.67924528301887
425,Castaner,1.7735849056603774
426,Catherine Malandrino,0.0
427,Cav Empt,0.0
428,Cawley,0.0
429,Cazal,0.3584905660377358
430,Cecilie Bahnsen,31.943396226415093
431,Celine,72.67924528301887
432,Cerruti,3.5849056603773586
433,Certina,4.566037735849057
434,Cesar,61.20754716981132
435,Cesare Attolini,0.9245283018867925
436,Cesare Paciotti,9.924528301886792
437,Chacok,0.0
438,Champion,61.81132075471698
439,Chan Luu,3.4339622641509435
440,Chanel,70.49056603773585
441,Chantal Thomass,1.4339622641509433
442,Chaps,85.90566037735849
443,Charles Jourdan,0.3584905660377358
444,Charles Philip Shanghai,0.0
445,Charlotte Olympia,0.0
446,Charlotte Simone,0.03773584905660377
447,Charo Ruiz,0.0
448,Charvet,11.50943396226415
449,Chaumet,49.905660377358494
450,Chelsea Paris,4.320754716981132
451,Chet Lo,0.0
452,Chevignon,25.90566037735849
453,Chiara Boni,3.2641509433962264
454,Chiara Ferragni,15.056603773584905
455,Chiarini Bologna,0.0
456,Chico's,0.0
457,Chie Mihara,1.0
458,Chimi,1.4339622641509433
459,Chinatown market,55.20754716981132
460,Chitè,0.0
461,Chloé,81.56603773584905
462,Chopard,71.9622641509434
463,Christian Dior,51.735849056603776
464,Christian Lacroix,13.49056603773585
465,Christian Louboutin,73.94339622641509
466,Christopher Esber,0.0
467,Christopher Kane,0.0
468,Christopher Shannon,4.830188679245283
469,Chrome Hearts,75.35849056603773
470,Church's,86.58490566037736
471,Cinq à Sept,0.0
472,Cinti,8.716981132075471
473,Cinzia Araia,1.5471698113207548
474,Circolo 1901,0.0
475,Citizen,77.66037735849056
476,Citizens Of Humanity,1.169811320754717
477,Clarks,77.37735849056604
478,Class Cavalli,73.60377358490567
479,Claude Montana,22.79245283018868
480,Claudie Pierlot,61.283018867924525
481,Clips,86.0754716981132
482,Closed,67.43396226415095
483,Club Monaco,13.339622641509434
484,Coach,78.16981132075472
485,Coccinelle,2.0377358490566038
486,Codello,0.0
487,Cole Buxton,34.41509433962264
488,Cole Haan,55.867924528301884
489,Colette,0.018867924528301886
490,Colmar,63.39622641509434
491,Colombo,81.37735849056604
492,Comma,84.01886792452831
493,Comme Des Garcons,74.86792452830188
494,Comme des fuckdown,0.0
495,Common Projects,9.90566037735849
496,Comptoir Des Cotonniers,1.0754716981132075
497,Converse,70.11320754716981
498,Converse x Golf le fleur,0.7924528301886793
499,Converse x J.W Anderson,0.0
500,Converse x Play Comme Des Garçons,1.679245283018868
501,Coogi,0.0
502,Cool T.M,0.0
503,Copenhagen Studios,1.6603773584905661
504,Coperni,8.132075471698114
505,Cordova,82.9622641509434
506,Corneliani,73.41509433962264
507,Corteiz,17.39622641509434
508,Corum,32.81132075471698
509,Cos,83.9622641509434
510,Costume National,19.62264150943396
511,Country Road,80.45283018867924
512,Courrèges,43.22641509433962
513,Cp Company,53.113207547169814
514,Craig Green,4.377358490566038
515,Crime London,25.339622641509433
516,Crockett& Jones,0.0
517,Cruciani,4.660377358490566
518,Cult,86.67924528301887
519,Cult Gaia,74.0754716981132
520,Cupshe,50.264150943396224
521,Current Elliott,1.9622641509433962
522,Custo Barcelona,0.0
523,Cutler & Gross,5.113207547169812
524,Cuyana,42.0
525,Cycle,81.52830188679245
526,Cynthia Rowley,2.849056603773585
527,Cyrillus,59.15094339622642
528,D&G,82.28301886792453
529,D'ascoli,64.90566037735849
530,D. EXTERIOR,0.0
531,D.A.T.E,10.79245283018868
532,DANIEL HECHTER,25.28301886792453
533,DC SHOES,33.84905660377358
534,DENNY ROSE,1.0
535,DERHY,1.0
536,DESCENTE,74.64150943396227
537,DEVERNOIS,4.679245283018868
538,DEVRED,48.54716981132076
539,DIANA GALLESI,0.0
540,DICKIES,4.30188679245283
541,DIEGA,1.0188679245283019
542,DIXIE,81.9245283018868
543,DOCKERS,55.528301886792455
544,DONALD PLINER,0.0
545,DUNHILL,31.0
546,DUVILLARD,47.56603773584906
547,Dagmar,11.018867924528301
548,Daily paper,1.5660377358490567
549,Dainese,51.490566037735846
550,Daks,75.05660377358491
551,Damir Doma,0.0
552,Dan Post,0.0
553,Daniel Wellington,41.58490566037736
554,Daniele Alessandrini,0.09433962264150944
555,Daniele Fiesoli,0.11320754716981132
556,David Gandy For Autograph,0.018867924528301886
557,David Koma,0.0
558,David Lerner,0.8867924528301887
559,David Naman,2.849056603773585
560,David Yurman,13.0
561,David's Bridal,72.0377358490566
562,Day Birger & Mikkelsen,0.0
563,De Fursac,0.0
564,De La Vali,2.1320754716981134
565,Dear Frances,5.245283018867925
566,Del Mare 1911,0.0
567,Del Toro,19.88679245283019
568,Delvaux,1.169811320754717
569,Denim Tears,56.75471698113208
570,Department 5,26.20754716981132
571,Derek Lam,0.2641509433962264
572,Des Petits Hauts,1.0188679245283019
573,Designers Remix,0.7547169811320755
574,Deus Ex Machina,87.15094339622641
575,Devil\'s Advocate,0.1320754716981132
576,Devotion Twins,0.0
577,Diadora,29.60377358490566
578,Diadora Heritage,5.566037735849057
579,Diane Von Furstenberg,0.1320754716981132
580,Diemme,25.471698113207548
581,Diesel,82.20754716981132
582,Diesel Black Gold,0.05660377358490566
583,Dime,20.22641509433962
584,Dion Lee,0.11320754716981132
585,Dior,65.81132075471699
586,Dior Homme,62.84905660377358
587,Disney x Gucci,0.05660377358490566
588,Dissh,40.77358490566038
589,Dita,7.132075471698113
590,Dive divine,0.5471698113207547
591,Divine Follie,0.0
592,Djerf Avenue,0.0
593,Dkny,60.41509433962264
594,Dodo,60.132075471698116
595,Dodo Bar Or,0.0
596,Dolce & Gabbana,3.4339622641509435
597,Dolce Vita,15.377358490566039
598,Dondup,69.26415094339623
599,Donna Karan,2.4150943396226414
600,Dooney and Bourke,55.905660377358494
601,Doriani,8.0
602,Dorothee Schumacher,2.7735849056603774
603,Doucal's,0.0
604,Dr Martens x Rick Owens,0.0
605,Dr. Martens,54.283018867924525
606,Drake's,26.20754716981132
607,Dress The Population,0.0
608,Dries Van Noten,1.0
609,Drome,43.64150943396226
610,Drumohr,3.69811320754717
611,Drykorn,0.8679245283018868
612,Drôle De Monsieur,0.0
613,Dsquared2,67.11320754716981
614,Duchamp,23.41509433962264
615,Dune,44.20754716981132
616,Duvetica,0.05660377358490566
617,Dôen,0.0
618,E.Marinella,0.0
619,ECCO,2.9056603773584904
620,ECOALF,22.81132075471698
621,ED HARDY,35.35849056603774
622,EDEN PARK,37.679245283018865
623,EDOX,1.7547169811320755
624,EL CORTE INGLES,53.509433962264154
625,EL GANSO,1.0
626,ELISA CAVALETTI,3.056603773584906
627,ELIZA J,12.981132075471699
628,ENA PELLY,0.018867924528301886
629,ENRICO COVERI,6.3584905660377355
630,ERL,0.0
631,ESPRIT,78.37735849056604
632,ETAM,2.0943396226415096
633,EXPRESS,87.24528301886792
634,Each x Other,7.490566037735849
635,Ebel,1.0
636,Eberhard,69.64150943396227
637,Eckhaus Latta,0.0
638,Eddie Bauer,39.56603773584906
639,Eddy Monetti,0.03773584905660377
640,Edward Achour,0.0
641,Edward Green,0.018867924528301886
642,Edwin,15.90566037735849
643,Eileen Fisher,3.4339622641509435
644,El Charro,2.0754716981132075
645,Element,79.58490566037736
646,Elena Iachi,2.358490566037736
647,Elena Miro,0.0
648,Eleven Paris,0.09433962264150944
649,Eleven Six,70.35849056603773
650,Elie Saab,2.490566037735849
651,Elie Tahari,6.69811320754717
652,Elisabetta Franchi,2.150943396226415
653,Elisabetta Panerai,0.0
654,Elizabeth And James,12.867924528301886
655,Elle Macpherson,1.0377358490566038
656,Elleme,16.67924528301887
657,Ellery,22.339622641509433
658,Ellesse,65.84905660377359
659,Emanuel Ungaro,0.0
660,Emilia Wickstead,6.113207547169812
661,Emilio Pucci,0.41509433962264153
662,Emma Hyacinth,0.7735849056603774
663,Emmanuelle Khanh,0.11320754716981132
664,Emme Marella,3.150943396226415
665,Emporio Armani,60.339622641509436
666,Enfants Riches Deprimes,6.09433962264151
667,Engineered Garments,1.0
668,Entire Studios,6.981132075471698
669,Entre Amis,5.0
670,Equipment,70.9245283018868
671,Erdem,59.56603773584906
672,Eres,93.45283018867924
673,Eric Bompard,0.22641509433962265
674,Eric Emanuel,0.37735849056603776
675,Erika Cavallini,0.0
676,Ermanno Scervino,68.22641509433963
677,Ermenegildo Zegna,80.15094339622641
678,Escada,91.15094339622641
679,Essentiel Antwerp,7.39622641509434
680,Eterna,84.79245283018868
681,Etienne Aigner,78.73584905660377
682,Etnia Barcelona,5.415094339622642
683,Eton,87.67924528301887
684,Etro,71.77358490566037
685,Eugenia Kim,0.0
686,Everlane,5.339622641509434
687,Everlast,84.39622641509433
688,Evisu,79.9622641509434
689,Eytys,0.0
690,F**K,80.30188679245283
691,FABI,58.79245283018868
692,FERRARI,86.98113207547169
693,FESTINA,56.77358490566038
694,FIGARET,0.0
695,FIORELLA RUBINO,77.86792452830188
696,FLORSHEIM,6.509433962264151
697,FOOTKORNER,50.43396226415094
698,FORNARINA,13.09433962264151
699,FRACOMINA,0.0
700,FRANCK NAMANI,0.05660377358490566
701,FRANCO BASSI,0.03773584905660377
702,FRANCO SARTO,0.0
703,FREDDY,28.81132075471698
704,FUBU,70.69811320754717
705,FUTUR,78.0377358490566
706,Fabiana Filippi,12.29245283018868
707,Fabienne Chapot,31.339622641509433
708,Faconnable,5.339622641509434
709,Faherty,4.377358490566038
710,Faith Connexion,0.0
711,Faithfull The Brand,0.1320754716981132
712,Falconeri,1.849056603773585
713,Faliero Sarti,0.0
714,Farm Rio,26.339622641509433
715,Fausto Colato,0.0
716,Fausto Puglisi,0.4716981132075472
717,Fax Copy Express,0.0
718,Fay,51.471698113207545
719,Fear of God,17.830188679245282
720,Fedeli,55.264150943396224
721,Fendace,0.39622641509433965
722,Fendi,76.39622641509433
723,Fendissime,0.9433962264150944
724,Fenty x Puma,0.49056603773584906
725,Feyem,0.018867924528301886
726,Fila,73.75471698113208
727,Filippa K,11.264150943396226
728,Filling Pieces,1.0
729,Filson,40.113207547169814
730,Final Home,34.094339622641506
731,Fiorentini+Baker,72.0
732,Fiorucci,0.0
733,Fjallräven,0.0
734,Flattered,84.01886792452831
735,Flavio Castellani,0.8301886792452831
736,Floris Van Bommel,5.113207547169812
737,Folk,77.50943396226415
738,Folli Follie,1.9811320754716981
739,For Love & Lemons,0.0
740,Fornasetti,9.962264150943396
741,Forte_Forte,0.03773584905660377
742,Fortela,0.8490566037735849
743,Fossil,74.0377358490566
